time	flow_rate
0.0000	-1.1079
0.0410	0.5695
0.0830	-19.0709
0.1240	-93.9781
0.1660	-118.1478
0.2080	-96.0414
0.2490	-62.7623
0.2910	-24.6671
0.3330	8.6020
0.3740	20.4106
0.4160	20.8784
0.4580	15.2073
0.4990	8.5809
0.5410	2.8136
0.5830	-1.2040
0.6240	-4.3258
0.6660	-5.9142
0.7080	-4.9476
0.7500	-1.1079
