avg(trykk)
111196
111010
110736
110401
110165
110293
111206
113230
116892
122592
130372
140160
150541
161084
171434
180677
188074
193422
196434
197201
196091
193659
191038
188608
185971
183466
180928
178271
175426
172293
168973
165625
161919
158281
154624
151141
147549
144075
141067
137572
135118
133135
131752
130923
130377
130235
130201
130280
130303
130210
130040
129863
129733
129724
129772
129626
129827
129833
129672
129252
128786
128239
127691
127281
126931
126648
126336
125956
125468
124836
124113
123377
122697
122158
121738
121419
121124
120761
120326
119765
119129
118448
117860
117417
117149
116977
116811
116580
116207
115674
114985
114244
113528
112975
112663
112409
112179
111891
111593
111254
111184
111703
113172
116367
122790
129003
137425
147234
157902
168628
178396
186780
193022
196691
197442
196650
195312
193213
190482
188069
185403
182866
180281
177512
174460
171152
167719
164186
160577
156972
153442
149880
146416
143045
139980
136880
134972
133292
132058
131350
131076
131053
131139
131174
131090
130991
130771
130662
130583
130639
130689
130759
130743
130648
130337
129841
129292
128727
128278
127899
127581
127290
126961
126498
125937
125225
124479
123769
123158
122698
122334
122039
121718
121323
120812
120174
119487
118864
118367
118033
117808
117542
117459
117153
116686
116045
115299
114565
113988
113515
113222
112994
112762
112471
112120
111896
112129
113440
116109
120376
126330
134988
143792
154256
165194
175563
184628
190969
194850
197529
198129
197067
194872
192313
189629
187067
184518
181994
179279
176339
173195
169757
166653
162654
159065
155443
152287
148399
145072
141547
138786
136446
134433
132989
132113
131686
131598
131674
131836
131802
131650
131453
131307
131223
131219
131277
131391
131409
131287
131014
130450
130086
129555
129032
128616
128283
128003
127698
127290
126740
126064
125327
124608
123942
123414
123015
122705
122412
122046
121567
120959
120292
119660
119156
118687
118404
118227
118083
117842
117426
116827
116109
115365
114470
114181
113832
113596
113381
113138
112782
112498
112600
113391
115345
118815
124457
131226
140281
150693
161408
171940
180980
188712
194500
197805
198845
198238
196452
193965
191426
188563
186037
183492
180846
178019
174918
171594
168113
164545
160921
157272
153796
150320
146806
143592
139951
137955
135512
133841
132781
132179
132105
132239
132265
132262
132146
131990
131811
131671
131619
131683
131794
131836
131745
131531
131212
130732
130185
129654
129191
128813
128531
128226
127868
127374
126736
126050
125302
124600
124020
123544
123211
122929
122604
122169
121600
120973
120302
119693
119209
118876
118662
118548
118330
117980
117453
116773
116035
115330
114740
114313
114037
113842
113602
113280
112964
112860
113289
114665
117405
121858
128371
136924
146957
157823
168373
178197
186728
193163
197346
199367
199344
197867
195299
192471
189851
187353
184787
182256
179505
176527
173304
169849
166316
162674
159127
155483
152206
148456
145058
141373
139662
136536
134582
133508
132957
132637
132559
132563
132561
132527
132384
132220
132056
131934
131963
132068
132121
131926
131959
131711
131264
130712
130148
129662
129268
128947
128657
128326
127889
127306
126627
125869
125177
124522
124011
123649
123350
123033
122643
122130
121509
120846
120187
119637
119264
119046
118894
118709
118407
117943
117338
116616
115883
115185
114714
114439
114239
113983
113689
113335
113088
113221
114120
116261
120055
126097
134431
143696
153657
164479
174845
184029
191458
196680
199474
199735
198125
196066
193764
