time flow_rate
0.0 1.08
0.0414735 1.8
0.082947 -2.88
0.1244204 -32.4
0.1658939 -99.6
0.2073674 -114.0
0.2488409 -92.8
0.2903143 -66.7
0.3317878 -41.1
0.3732613 -15.4
0.4147348 7.55
0.4562083 14.2
0.4976817 10.9
0.5391552 5.71
0.5806287 1.67
0.6221022 -0.333
0.6635757 -0.702
0.7050491 -0.594
0.7465226 0.497
0.7879961 0.481
0.8294696 1.17
0.870943 0.306
0.9124165 0.951
0.95389 -0.418
